[18/02/23, 7:22:48 PM] Aditya Lucifer Bikes: ‎Messages and calls are end-to-end encrypted. Only people in this chat can read, listen to, or share them.
[18/02/23, 7:22:44 PM] Aditya Lucifer Bikes: Hi
[19/04/23, 11:26:32 PM] Aditya Lucifer Bikes: Lungs me Pani bhar gaya
[19/04/23, 11:26:39 PM] Aditya Lucifer Bikes: Wo dry hoga
[24/04/23, 2:54:24 PM] Syed: Bhai.
[24/04/23, 2:54:28 PM] Syed: Kaise hoo.
[24/04/23, 2:54:33 PM] Syed: Kuch marketing ka update do
[24/04/23, 3:16:51 PM] Aditya Lucifer Bikes: Sir 2 din me start ho jayegi
[24/04/23, 3:17:09 PM] Syed: Bhai, ek pc bhi nahi nikala hai abhi tak.
[26/04/23, 2:51:08 PM] Syed: Bhai?
[26/04/23, 2:51:15 PM] Syed: Kaise hoo?
[26/04/23, 3:07:28 PM] Aditya Lucifer Bikes: Hai sir faraq
[26/04/23, 3:16:55 PM] Syed: Apna sales ka kuch karro.
[01/05/23, 7:40:29 PM] Syed: Bhai saab
[01/05/23, 7:40:31 PM] Syed: Kaise hoo?
[01/05/23, 7:40:38 PM] Syed: Kuch tho leads do ya phir kaise karrenge
[01/05/23, 7:40:45 PM] Syed: Abhi tak ek sale nahi hua hai
[01/05/23, 7:40:46 PM] Aditya Lucifer Bikes: Abhi thik hu boss
[01/05/23, 7:40:54 PM] Aditya Lucifer Bikes: Mai office jaunga
[01/05/23, 7:40:58 PM] Aditya Lucifer Bikes: Bhai Monday ko
[01/05/23, 7:41:02 PM] Syed: Sir clients are feeling the bike to be expensive ! Kya karrun
[01/05/23, 7:41:18 PM] Aditya Lucifer Bikes: Jaate hi aapka promotion chalwata hu boss
[01/05/23, 7:41:24 PM] Aditya Lucifer Bikes: Tension mat lo
[01/05/23, 7:41:35 PM] Aditya Lucifer Bikes: And iss month aa bhi raha hu bangalore
[01/05/23, 7:41:37 PM] Syed: I have offered them elante 29 SS for 14500/- but no sale.
[01/05/23, 7:42:01 PM] Syed: Theek hai, payment thoda late hogga abhi bahot slow chal raha hai... Dekhlenna !
[01/05/23, 7:42:19 PM] Aditya Lucifer Bikes: Thoda bahut to karwana
[01/05/23, 7:42:32 PM] Syed: Bhai koi offer nikallo Lucifer pe nahi tho sale nahi hogga
[10/05/23, 5:16:48 PM] Syed: Bhai?
[10/05/23, 5:17:05 PM] Aditya Lucifer Bikes: Aa raha hu bhaiya bangalore
[10/05/23, 5:17:12 PM] Aditya Lucifer Bikes: Aaj sham ko nikal raha hu
[10/05/23, 5:17:20 PM] Syed: Theek hai bhai
[10/05/23, 5:17:28 PM] Syed: Ajjau milte Hain phir.
[12/05/23, 5:50:17 PM] Syed: Bhai ayye nahi aap?
[12/05/23, 5:51:09 PM] Aditya Lucifer Bikes: On the way hu
[12/05/23, 5:51:13 PM] Aditya Lucifer Bikes: Bilkul aayunga
[12/05/23, 5:51:20 PM] Aditya Lucifer Bikes: Market karta hua aa raha hu
[12/05/23, 5:51:28 PM] Aditya Lucifer Bikes: Kolhapur hu kal
[12/05/23, 5:51:36 PM] Syed: Theek hai bhai.
[22/05/23, 8:34:06 PM] Syed: bhai
[22/05/23, 8:36:21 PM] Aditya Lucifer Bikes: Iss week me aa gaya bangalore
[22/05/23, 8:36:32 PM] Syed: Theek hai bhai.
[22/05/23, 8:36:35 PM] Aditya Lucifer Bikes: Shivmogga Tumkur pher aapke pass
[22/05/23, 8:36:44 PM] Aditya Lucifer Bikes: Max 2 days
[22/05/23, 8:38:24 PM] Syed: Sir ek final discount karrado, let's move forward.
[22/05/23, 8:38:51 PM] Aditya Lucifer Bikes: Aata hu sir
[23/05/23, 4:50:49 PM] Syed: Share the total purchase of Trinity cycles India pvt ltd.
[23/05/23, 4:51:12 PM] Aditya Lucifer Bikes: How can I share
[23/05/23, 4:51:25 PM] Syed: Sorry, wrong window 😅
[23/05/23, 4:52:01 PM] Syed: Apne auditor ka naam bhi Aditya hai
[23/05/23, 4:52:12 PM] Aditya Lucifer Bikes: K
[25/05/23, 5:13:41 PM] Aditya Lucifer Bikes: ‎Missed voice call
‎[25/05/23, 6:35:41 PM] Aditya Lucifer Bikes: Lucifer Bikes Catalogue.pdf • ‎24 pages ‎<attached: 00000104-Lucifer Bikes Catalogue.pdf>
‎[25/05/23, 7:00:39 PM] Aditya Lucifer Bikes: Pricelist - Lucifire Bikes 15th May 2023.pdf • ‎1 page ‎<attached: 00000105-Pricelist - Lucifire Bikes 15th May 2023.pdf>
[25/05/23, 7:41:49 PM] Syed: bharathcyclehub@gmail.com
[26/05/23, 4:18:59 PM] Syed: Sir, apna order 1 se phellai ship kardo. 6 tareek ko ek event hai
[26/05/23, 4:19:05 PM] Syed: Lucifer lekke jaienge
[26/05/23, 4:19:11 PM] Syed: Offer pe nikal denge
[26/05/23, 4:40:10 PM] Aditya Lucifer Bikes: Sit ek 10k account transfer mar do online
[26/05/23, 4:41:27 PM] Aditya Lucifer Bikes: Company’s Bank Details
Bank Name : HDFC Bank A/C 59257777777722
A/c No. : 59257777777722
Branch & IFS Code : HUDA COMPLEX, ROHTAK & HDFC0002066
for LUCIFER BIKES PRIVATE LIMITED
[26/05/23, 4:41:48 PM] Syed: Theek hai.
[26/05/23, 4:41:53 PM] Syed: Abhi kardetta hun
[26/05/23, 4:41:58 PM] Syed: Kal hi nikal denna
[26/05/23, 4:42:04 PM] Aditya Lucifer Bikes: Sure
[26/05/23, 4:42:08 PM] Syed: Aur hua tho ek aur order bhi plan karta hun offer price me
[26/05/23, 4:42:17 PM] Aditya Lucifer Bikes: Screen shot Dal do
[26/05/23, 4:42:27 PM] Aditya Lucifer Bikes: Kar lo sir koi issue nahi hai
[26/05/23, 5:56:39 PM] Syed: Theek hai bhai
‎[26/05/23, 8:12:42 PM] Syed: Done. ‎<attached: 00000120-PHOTO-2023-05-26-20-12-43.jpg>
[26/05/23, 8:15:41 PM] Syed: Bhai event k lia thoda aur goodies kuch bhejdo.
[26/05/23, 8:16:11 PM] Aditya Lucifer Bikes: Please send me event details
[26/05/23, 8:16:21 PM] Aditya Lucifer Bikes: I will discuss with seniors
[26/05/23, 8:16:22 PM] Syed: Pakka sir.
[26/05/23, 8:16:27 PM] Syed: Give me some time
[26/05/23, 8:16:41 PM] Syed: Apke mail pe daldu?
[26/05/23, 8:16:58 PM] Aditya Lucifer Bikes: Aditya.v@dlyftindia.com
‎[27/05/23, 9:29:55 AM] Aditya Lucifer Bikes: ‎image omitted
‎[27/05/23, 9:30:06 AM] Aditya Lucifer Bikes: ‎image omitted
‎[27/05/23, 9:30:07 AM] Aditya Lucifer Bikes: ‎image omitted
‎[27/05/23, 9:30:08 AM] Aditya Lucifer Bikes: ‎image omitted
‎[27/05/23, 9:30:08 AM] Aditya Lucifer Bikes: ‎image omitted
‎[27/05/23, 9:30:09 AM] Aditya Lucifer Bikes: ‎image omitted
‎[27/05/23, 9:30:10 AM] Aditya Lucifer Bikes: ‎image omitted
‎[27/05/23, 9:30:11 AM] Aditya Lucifer Bikes: ‎image omitted
‎[27/05/23, 9:30:11 AM] Aditya Lucifer Bikes: ‎image omitted
‎[27/05/23, 9:30:12 AM] Aditya Lucifer Bikes: ‎image omitted
‎[27/05/23, 9:30:12 AM] Aditya Lucifer Bikes: ‎image omitted
‎[27/05/23, 9:30:13 AM] Aditya Lucifer Bikes: ‎image omitted
‎[27/05/23, 9:30:14 AM] Aditya Lucifer Bikes: ‎image omitted
‎[27/05/23, 9:30:15 AM] Aditya Lucifer Bikes: ‎image omitted
[27/05/23, 9:30:15 AM] Aditya Lucifer Bikes: ‎This message was deleted.
‎[27/05/23, 9:30:16 AM] Aditya Lucifer Bikes: ‎image omitted
[27/05/23, 12:24:32 PM] Syed: Bhai apko mail kardiya hai.
[27/05/23, 12:24:45 PM] Syed: Images mail kardo, aur white background chaheye sirji
[27/05/23, 12:24:56 PM] Aditya Lucifer Bikes: Already forwarded to md
[27/05/23, 12:25:10 PM] Aditya Lucifer Bikes: Sir white background nahi milega
[27/05/23, 12:25:26 PM] Syed: Kyun sir?
[27/05/23, 12:25:55 PM] Aditya Lucifer Bikes: Kyuki hunara photoshoot models ke sath ya mountains par hi Hota hai
[27/05/23, 12:26:11 PM] Syed: Apni website pe tho hai !
[27/05/23, 12:28:07 PM] Aditya Lucifer Bikes: Mai check karwa lunga
[27/05/23, 12:42:05 PM] Syed: Theek hai.
[27/05/23, 12:42:08 PM] Syed: Maal dispatch hua?
[27/05/23, 12:43:36 PM] Aditya Lucifer Bikes: Sir mail Kar dia hai
[27/05/23, 12:43:40 PM] Aditya Lucifer Bikes: Nikalwata hu aaj
[27/05/23, 12:43:56 PM] Syed: Apna ek banner bhi bannake do 20% off ka
[27/05/23, 12:44:01 PM] Syed: Event pe lagga lenge
[27/05/23, 12:44:13 PM] Syed: Ya tho phir koi aur marketing material dedo
[27/05/23, 12:44:18 PM] Aditya Lucifer Bikes: Sir it's unofficially
[27/05/23, 12:44:24 PM] Aditya Lucifer Bikes: We can't do that
[01/06/23, 6:12:04 PM] Aditya Lucifer Bikes: Sir 
Please share screenshot
[02/06/23, 12:13:29 AM] Syed: Sorry sir Aaj hua nahi.
[02/06/23, 12:13:46 AM] Aditya Lucifer Bikes: Please Kal morning Kar do sir
[02/06/23, 12:18:07 AM] Syed: Sir apna first bill bhejjo
[02/06/23, 12:18:51 AM] Aditya Lucifer Bikes: Aapke pass aaya hoga sie
[02/06/23, 12:19:04 AM] Syed: Ghar pe hun, payment karta hun
[02/06/23, 12:19:08 AM] Syed: Amount battado.
[02/06/23, 12:19:15 AM] Aditya Lucifer Bikes: 127000 Dal do
‎[02/06/23, 12:20:16 AM] Syed: ‎<attached: 00000169-PHOTO-2023-06-02-00-20-17.jpg>
[02/06/23, 12:20:21 AM] Syed: Balance kal karta hun sirji
[02/06/23, 12:20:27 AM] Syed: 😅bakki nahi ho raha hai
[02/06/23, 12:20:31 AM] Syed: Limit hogayi hai
[02/06/23, 12:20:37 AM] Syed: Check karlo aap!
[02/06/23, 12:20:46 AM] Aditya Lucifer Bikes: Koi issue nahi hai
[02/06/23, 12:20:52 AM] Aditya Lucifer Bikes: Check Kal morning hoga
[02/06/23, 12:20:55 AM] Aditya Lucifer Bikes: Accounts se
[02/06/23, 12:32:23 AM] Syed: 🙌
‎[10/06/23, 1:43:13 PM] Aditya Lucifer Bikes: ‎image omitted
[10/06/23, 2:17:01 PM] Syed: Send elante all models and colours 2pc
[10/06/23, 2:17:14 PM] Syed: And invalid 29SS 2PCS
[10/06/23, 2:23:10 PM] Aditya Lucifer Bikes: In single speed or multi
[10/06/23, 2:36:49 PM] Syed: All models 2 pc each
[10/06/23, 2:36:55 PM] Syed: Payment will be done within a month.
[10/06/23, 2:38:52 PM] Syed: Give the best discount sir.
[10/06/23, 2:47:01 PM] Aditya Lucifer Bikes: 2 pcs in each colour and each model
[10/06/23, 2:48:36 PM] Aditya Lucifer Bikes: Your total order qty is 38 pcs
[10/06/23, 2:50:17 PM] Syed: Okay.
[10/06/23, 2:50:28 PM] Syed: Dispatch it immediately.
[10/06/23, 2:50:30 PM] Syed: .
[10/06/23, 2:50:32 PM] Syed: Please!
[10/06/23, 3:27:13 PM] Aditya Lucifer Bikes: 20% boss
[10/06/23, 3:27:14 PM] Aditya Lucifer Bikes: Isse jyada nahi hai sir hath me MD sahab ke bhi
[10/06/23, 3:27:15 PM] Aditya Lucifer Bikes: Unse bhi baat Kar lia maine
[10/06/23, 4:17:39 PM] Aditya Lucifer Bikes: Ek 50k ki payment Kar do
[10/06/23, 4:22:24 PM] Syed: Bhai, Aaj nahi monday.
[10/06/23, 4:22:38 PM] Aditya Lucifer Bikes: No issues
[10/06/23, 4:22:48 PM] Syed: Aaj dispatch kardo, please.
[10/06/23, 4:22:53 PM] Syed: Client ko patta lia hai
[10/06/23, 4:23:02 PM] Aditya Lucifer Bikes: Bhai
[10/06/23, 4:23:08 PM] Aditya Lucifer Bikes: Process me Dal dia hai
[10/06/23, 4:23:11 PM] Syed: 15pcs immediately nikal ne ka try karta hun but rate aur thoda dekh k karlo.
[10/06/23, 4:23:23 PM] Aditya Lucifer Bikes: And billing me ja chuka
[10/06/23, 4:23:57 PM] Aditya Lucifer Bikes: Bhai agar ho sakta to appko kerne ki requirement nahi padegi jab tak Mai yaha par hu
[10/06/23, 4:24:19 PM] Aditya Lucifer Bikes: Bus belive karo Maine jitni koshish Kar sakta tha usse bhi kahi jyada Kari hai
[10/06/23, 4:24:53 PM] Syed: Theek hai bhai
[10/06/23, 4:24:58 PM] Syed: Bharosa hai aap pe
[10/06/23, 4:25:06 PM] Syed: Aise baat nahi hai.
[10/06/23, 4:25:06 PM] Aditya Lucifer Bikes: Bus
[10/06/23, 4:25:24 PM] Aditya Lucifer Bikes: Jaha tak lad sakta tha waha se bhi aage gaya hu
[10/06/23, 4:25:48 PM] Aditya Lucifer Bikes: Ha dispatch karwata hu
[10/06/23, 4:27:58 PM] Aditya Lucifer Bikes: Ye manta hu
‎[15/06/23, 3:12:43 PM] Aditya Lucifer Bikes: delextms.dpworld.co.in_consignments_9784025_print.pdf • ‎1 page ‎<attached: 00000212-delextms.dpworld.co.in_consignments_9784025_print.pdf>
[15/06/23, 3:39:16 PM] Syed: Okay bhai.
[15/06/23, 3:39:29 PM] Syed: Bhai apka payment sham tak karta hun.
[15/06/23, 3:41:50 PM] Aditya Lucifer Bikes: Please
[15/06/23, 10:08:08 PM] Aditya Lucifer Bikes: Sir ji payment Dal di kya
[16/06/23, 4:23:27 PM] Aditya Lucifer Bikes: Please send me ss
[16/06/23, 4:23:29 PM] Aditya Lucifer Bikes: Please
‎[16/06/23, 7:40:48 PM] Syed: ‎<attached: 00000219-PHOTO-2023-06-16-19-40-49.jpg>
[19/06/23, 9:13:52 AM] Aditya Lucifer Bikes: Hi good morning
[19/06/23, 9:14:12 AM] Aditya Lucifer Bikes: Today is our day to pay rest of the payment
[19/06/23, 9:14:21 AM] Aditya Lucifer Bikes: So please do it bhai
[19/06/23, 3:01:47 PM] Aditya Lucifer Bikes: Ferocia 26 27.5 29 2 pcs in each colour single and multispeed  total 6 pcs in ss and 6 pcs in multi 

Dunamis 27.5 2 pcs in each colour total qty 6 pcs 

Sinister 2 pcs 

Invalid 2 pcs in each colour in single speed or multi speed both

Roadgiant  2 pcs in single speed and 2 pcs in multispeed 

Rushtail  3 pcs 

Frooty 2 pcs in each colour  total 6 pcs

 Total 37 cycle


Bharat cycle hub bangalore
[19/06/23, 3:02:00 PM] Aditya Lucifer Bikes: Please check and confirm
[19/06/23, 3:07:56 PM] Syed: Okay sir. Confirm ! 

Karrado.
[19/06/23, 3:08:24 PM] Syed: Apse ek help chaheye mujhe, marketing karna hai apki cycle ka YouTube pe
[19/06/23, 3:08:31 PM] Syed: 25K ka expenses rahega
[19/06/23, 3:08:38 PM] Syed: Usme apki help chahiye bus.
[19/06/23, 3:08:59 PM] Syed: Yeh stock bhi aap immediately dispatch karrado. Chalega
[19/06/23, 3:09:16 PM] Syed: Aur branding me bhi help chahiye.
[19/06/23, 3:10:45 PM] Aditya Lucifer Bikes: Purposal Dal do kya hai
[19/06/23, 3:11:02 PM] Aditya Lucifer Bikes: Mai aage forward Kar deta hu
[19/06/23, 3:11:16 PM] Aditya Lucifer Bikes: Branding ka space de do and size de do
[19/06/23, 3:11:22 PM] Syed: Okay.
[19/06/23, 9:32:18 PM] Aditya Lucifer Bikes: Sir
[19/06/23, 9:32:21 PM] Aditya Lucifer Bikes: Kya haal hai
‎[20/06/23, 3:35:20 PM] Syed: ‎<attached: 00000237-PHOTO-2023-06-20-15-35-21.jpg>
[20/06/23, 3:35:27 PM] Syed: Only one bill pending bhai.
[20/06/23, 3:41:29 PM] Aditya Lucifer Bikes: 4960 pending from last bill
‎[20/06/23, 3:41:40 PM] Aditya Lucifer Bikes: LEDGER.pdf • ‎1 page ‎<attached: 00000240-LEDGER.pdf>
[20/06/23, 3:42:16 PM] Syed: Bhaiji discount ka credit note daldo.
[20/06/23, 3:42:18 PM] Syed: Sahi ayyega
[20/06/23, 3:43:20 PM] Aditya Lucifer Bikes: Ok
[20/06/23, 3:43:24 PM] Aditya Lucifer Bikes: 30 th ko
[20/06/23, 3:43:34 PM] Aditya Lucifer Bikes: Cn 30 th ko Dal dunga
[20/06/23, 3:43:53 PM] Syed: Okay bhaiji
[20/06/23, 3:43:55 PM] Syed: No problem.
[20/06/23, 3:44:22 PM] Syed: Apko ek proposal mail karta hun thodi deer me
[20/06/23, 3:44:37 PM] Aditya Lucifer Bikes: K
[03/07/23, 3:15:07 PM] Syed: Hello sir.
[03/07/23, 3:15:09 PM] Syed: Kaise hoo
[03/07/23, 3:15:19 PM] Aditya Lucifer Bikes: Karta hu call
[03/07/23, 3:15:26 PM] Syed: Chalega sir.
‎[04/07/23, 2:13:06 PM] Syed: ‎<attached: 00000254-PHOTO-2023-07-04-14-13-07.jpg>
‎[04/07/23, 2:15:02 PM] Syed: ‎<attached: 00000255-PHOTO-2023-07-04-14-15-03.jpg>
‎[04/07/23, 2:25:30 PM] Syed: ‎<attached: 00000256-Ramprasadh TI CYCLES Ramakrishnan.vcf>
‎[04/07/23, 2:25:48 PM] Syed: ‎<attached: 00000257-Manish Sharma Trinity Cycles Official.vcf>
‎[04/07/23, 2:27:10 PM] Syed: ‎<attached: 00000258-Jaya Chandra Tata Stryder RSM.vcf>
‎[04/07/23, 2:28:01 PM] Aditya Lucifer Bikes: ‎image omitted
‎[13/07/23, 5:37:19 PM] Aditya Lucifer Bikes: ‎<attached: 00000260-Ashish Gzd.vcf>
[13/07/23, 5:37:37 PM] Aditya Lucifer Bikes: He is manager in ship it express
[20/07/23, 4:44:19 PM] Aditya Lucifer Bikes: Lucifer ka bhi launching laga diya karo
[20/07/23, 4:44:38 PM] Syed: Kidar sir apne images hi nahi bhejje
[20/07/23, 4:44:40 PM] Syed: Bhejdo
[20/07/23, 4:44:43 PM] Syed: Lagga denge
[20/07/23, 4:45:12 PM] Aditya Lucifer Bikes: Kaha hi
[20/07/23, 4:45:14 PM] Aditya Lucifer Bikes: Ho
[20/07/23, 4:45:21 PM] Syed: Dukan pe sir.
[20/07/23, 4:45:31 PM] Aditya Lucifer Bikes: Aata hu
[20/07/23, 4:45:46 PM] Syed: Ajjau
[20/07/23, 4:45:48 PM] Syed: Baithe hain
[20/07/23, 4:49:29 PM] Aditya Lucifer Bikes: Aa raha hu boss
[20/07/23, 4:55:26 PM] Syed: 🙏
[20/07/23, 6:02:26 PM] Syed: Hello sir.
[20/07/23, 6:02:32 PM] Syed: bharathcyclehub@gmail.com
[24/07/23, 10:48:50 PM] Aditya Lucifer Bikes: Sahab kya raha
‎[25/07/23, 12:34:44 AM] Syed: ‎<attached: 00000277-PHOTO-2023-07-25-00-34-45.jpg>
[25/07/23, 12:34:50 AM] Syed: Apka account aad Kiya hai
[25/07/23, 12:34:58 AM] Syed: Active hotte hi karta hun sir
[25/07/23, 12:35:05 AM] Aditya Lucifer Bikes: Please yaar
‎[25/07/23, 12:35:47 AM] Syed: Abhi 50K hua tho kardiya hai ‎<attached: 00000281-PHOTO-2023-07-25-00-35-48.jpg>
[25/07/23, 12:35:55 AM] Syed: Bakki dekhta hun subha
[25/07/23, 12:36:01 AM] Aditya Lucifer Bikes: Ok boss
[25/07/23, 12:36:09 AM] Aditya Lucifer Bikes: Please do it bhai
[25/07/23, 12:36:24 AM] Aditya Lucifer Bikes: Kl material bhi nikalega
[25/07/23, 12:36:35 AM] Syed: Theek hai
[25/07/23, 1:44:15 PM] Aditya Lucifer Bikes: 50 aur Dal do
[25/07/23, 1:44:16 PM] Aditya Lucifer Bikes: Elante ke short model Bata do
[25/07/23, 1:47:47 PM] Syed: Battata hun sir.
[28/07/23, 12:35:48 PM] Aditya Lucifer Bikes: Bhai bhej do shortage
[28/07/23, 12:50:41 PM] Syed: Ji sir
[28/07/23, 12:50:43 PM] Syed: Karta hun
[29/07/23, 8:57:02 PM] Aditya Lucifer Bikes: Ferocia 26 27.5 29 2 pcs in each colour single and multispeed  total 6 pcs in ss and 6 pcs in multi 

Dunamis 27.5 2 pcs in each colour total qty 6 pcs 

Sinister 2 pcs 

Invalid 2 pcs in each colour in single speed or multi speed both

Roadgiant  2 pcs in single speed and 2 pcs in multispeed 

Rushtail  3 pcs 

Frooty 2 pcs in each colour  total 6 pcs

 Total 37 cycle


Bharat cycle hub bangalore
[29/07/23, 9:51:31 PM] Syed: Okay Monday ko process kardo sir.
[31/07/23, 4:25:45 PM] Syed: Company’s Bank Details
Bank Name : HDFC Bank A/C 59257777777722
A/c No. : 59257777777722
Branch & IFS Code : HUDA COMPLEX, ROHTAK & HDFC0002066
for LUCIFER BIKES PRIVATE LIMITED


Is account ko active kar rahen Hain sir
‎[31/07/23, 4:27:19 PM] Syed: ‎<attached: 00000296-PHOTO-2023-07-31-16-27-20.jpg>
[31/07/23, 4:40:05 PM] Aditya Lucifer Bikes: Please proceed sir
[31/07/23, 4:40:20 PM] Syed: 🔥
[31/07/23, 4:40:29 PM] Syed: Sirji maal nikalla?
[31/07/23, 4:51:38 PM] Aditya Lucifer Bikes: Bhai Kal nikal raha hu kyuki month start hai target affected  na hoga
[31/07/23, 4:52:15 PM] Syed: Okay.
[02/08/23, 1:18:32 AM] Syed: 🎉
‎[06/08/23, 1:26:09 PM] Aditya Lucifer Bikes: ‎video omitted
‎[07/08/23, 1:04:15 PM] Syed: ‎<attached: 00000304-PHOTO-2023-08-07-13-04-16.jpg>
[15/08/23, 6:58:51 PM] Aditya Lucifer Bikes: Let’s celebrate the spirit of unity and diversity that makes our nation strong. Happy Independence Day!


Happy Selling With Lucifire
Aditya Vashishta 
Sales Manager 
9728166222
‎[15/08/23, 6:58:52 PM] Aditya Lucifer Bikes: ‎image omitted
‎[15/08/23, 6:58:53 PM] Aditya Lucifer Bikes: ‎<attached: 00000307-PHOTO-2023-08-15-18-58-54.jpg>
[15/08/23, 7:21:24 PM] Syed: Happy independence day sir.
[15/08/23, 7:21:47 PM] Aditya Lucifer Bikes: thanks bhai
‎[25/08/23, 6:12:18 PM] Syed: ‎<attached: 00000310-PHOTO-2023-08-25-18-12-19.jpg>
‎[06/09/23, 1:19:55 PM] Aditya Lucifer Bikes: ‎image omitted
‎[06/09/23, 1:20:40 PM] Aditya Lucifer Bikes: ‎image omitted
[08/09/23, 12:17:28 PM] Syed: Your Money Transfer of ₹1,00,000.00 was successful.
Transferred to: 59257777777722
Amount: ₹1,00,000.00
Reference No.: MB08121707270T18447244
Date: 08 Sep 2023
Remarks: Payment
‎[08/09/23, 12:17:47 PM] Syed: ‎<attached: 00000314-PHOTO-2023-09-08-12-17-48.jpg>
‎[14/09/23, 8:33:44 PM] Aditya Lucifer Bikes: ‎image omitted
‎[14/09/23, 8:34:07 PM] Aditya Lucifer Bikes: ‎image omitted
[18/09/23, 1:26:16 PM] Syed: Hello siem
[18/09/23, 1:26:18 PM] Syed: Sir*
[18/09/23, 1:26:31 PM] Syed: Happy ganesh chaturthi🥳🥳
[18/09/23, 1:26:35 PM] Syed: Please share our ledger
[18/09/23, 1:27:00 PM] Aditya Lucifer Bikes: Sure sir
‎[18/09/23, 4:28:43 PM] Aditya Lucifer Bikes: bharat cycle hub ledger.pdf • ‎1 page ‎<attached: 00000322-bharat cycle hub ledger.pdf>
[19/09/23, 3:26:23 PM] Aditya Lucifer Bikes: Bhai pahuch gaye ho to photos bhej do
